Rejection / Status Code,Root Cause / Trigger,Action / Queue,Outcome by Jorie,Final Category / Bucket
Incorrect/Invalid/Missing Auth#,Authorization / Admission,Assistance Required,Assistance Needed From NSHA,Missing/Invalid Authorization
Incorrect/Invalid/Missing Auth#,Authorization / Admission,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Manually split profee on UB,Pro-fee CPT placed on facility claim,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Manually split profee on UB,Pro-fee CPT placed on facility claim,Tasked_Charge Master,Exception,Charges Issue
No Charges,Missing CPT & Charges,Tasked_Charge Master,Exception,Charges Issue
Claim Frequency Code/Claim# Required,Claim# Missing,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Claim Frequency Code/Claim# Required,Resubmisson Code Missing,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Duplicate/Claim Paid,Already Paid,Claim Ignored,Corrected,Edit Resolved
Duplicate/Claim Paid,Dup Service,Claim Ignored,Corrected,Edit Resolved
Payer No Longer Accept Paper Claim,Claim# / Payer Related,Route to Insurance,Corrected,Edit Resolved
Rejected_Invalid Payer id,Incorrect Payer/FC,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect Condition Code,Condition Code Unmatched with Service Type,Tasked_Coding,Exception,Coding Issue
Incorrect Condition Code,Condition Code Unmatched with Service Type,Condition Code Updated,Corrected,Edit Resolved
Invalid/Missing DOS,Invalid Date Format / Incorrect Date Entry,Tasked_Coding,Exception,Coding Issue
Invalid/Missing DOS,Invalid Date Format / Incorrect Date Entry,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Invalid/Missing DOS,DOS Not Matching Admission / Discharge Dates,Tasked_Coding,Exception,Coding Issue
Invalid/Missing DOS,DOS Not Matching Admission / Discharge Dates,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect/Invalid/Missing Dx,FL 67-Principal Diagnosis,Tasked_Coding,Exception,Coding Issue
Incorrect/Invalid/Missing Dx,FL 67A–67Q-Other Diagnoses,Tasked_Coding,Exception,Coding Issue
Incorrect/Invalid/Missing Dx,Revenue/CPT does not match DX,Tasked_Coding,Exception,Coding Issue
Incorrect/Invalid/Missing Dx,DOB/Age impacts DX validity,Tasked_Coding,Exception,Coding Issue
Incorrect/Invalid/Missing Modifier,CG Modifier Preventive Care,Medicare Queue,Corrected,Edit Resolved
Incorrect/Invalid/Missing Modifier,CG Modifier Preventive Care,Medicare Queue,Exception,Coding Issue
